m(g) +/- 0.01
2.51
2.51
2.48
3.14
2.48
3.08
2.51
3.07
2.49
3.07
3.1
2.51
3.01
3.09
2.53
2.52
2.5
3.09
2.51
2.53
2.5
3.12
3.13
3.1
2.52
2.49
2.51
2.51
3.08
3.15
2.53
2.52
2.5
2.5
2.53
3.07
3.05
3.11
2.5
3.09
3.09
2.59
3.11
2.5
2.52
3.11
2.51
3
2.49
3.06
2.47
2.51
3.11
2.47
2.49
3.1
3.06
2.54
2.56
2.49
3.06
2.5
2.59
3.14
2.53
2.49
2.55
3.12
3.09
3.04
2.48
2.53
2.5
2.48
2.52
2.53
2.5
2.51
2.52
2.51
2.47
2.49
2.51
2.52
3.1
3.11
3.1
3.05
3.12
3.08
3.09
3.12
3.05
3.07
3.11
3.09
3.07
3.16
3.04
3.09
2.57
3.03
3.1
3.1
2.52
2.51
2.5
2.5
2.52
2.51
3.1
2.99
2.5
3.1
2.51
2.54
2.53
2.52
3.12
3.1
3.07
3.08
3.14
2.46
3.09
3.11
2.52
3.1
